text_1	text_2	class
"""Прогресс-М27М"" со знаменем Победы запущен к МКС с Байконура"	Роскосмос: Знамя Победы уже находится на борту МКС	-1
Главаря преступной банды Сергея Цапка лишили научной степени.	Сергея Цапка лишили степени кандидата наук.	1
На сотрудника ГИБДД завели дело за домогательства к подчиненной.	"""Союзмультфильм"" не дается в частные руки."	-1
Генштаб: европейская часть РФ попадает в зону поражения ракет ВМС США	Герасимов: Европейская часть РФ попадает в зону поражения ракет США	1
Медведев ценит, что МИД Украины интересуется развитием Крыма	Медведев: Ценю, что МИД Украины следит за моими передвижениями по РФ	-1
Михаил Ходорковский покинул сегежскую колонию.	Ходорковский покинул Россию.	-1
Большинство россиян доверяют основным российским СМИ	Более половины россиян перестали доверять зарубежным СМИ	-1
Шри-Ланка направила спасателей в пострадавший от землетрясения Непал	В пострадавшем от землетрясений Непале начались мародерства	-1
Прокуратура сняла часть обвинений с соратницы Е.Ройзмана.	Прокуратура попросила снять часть обвинений с Аксаны Пановой.	-1
Россия убедила КНР выделить на магистраль Москва-Казань еще 52 млрд руб.	Китай вложит в магистраль «Москва-Казань» 100 миллиардов рублей	-1
Уголовное дело возбуждено против сибирячки, дебоширившей в аэропорту	В отношении депутата Пономарева возбуждено уголовное дело	-1
Чуркин: генсек ООН решил посетить Москву 9 мая, несмотря на давление	Спикер парламента Греции посетит Москву 9 мая	-1
При крушении Boeing 777 в Сан-Франциско пострадали около 100 человек.	При крушении самолета в Сан-Франциско пострадали более 70 человек.	-1
"Обнародован проект нового здания московского ""Политеха""."	Новое здание Политеха построят из меди и патины по итальянскому проекту.	-1
"Ученые нашли в Австралии ""затерянный мир"" с новыми видами животных."	Ученые нашли новый вид дельфинов.	-1
С начала 2013 года на Северном Кавказе убиты более 70 боевиков.	С начала года на Кавказе убили 73 боевика.	1
МИД Италии: Киев должен предоставить автономию Донбассу	Италия призвала Украину дать автономию Донбассу	1
Неизвестный задержан при попытке попасть на территорию Белого дома	Неизвестного злоумышленника задержали при попытке попасть в Белый дом	1
Официальный курс евро упал на 2,6 рубля	Курс доллара упал ниже 51 рубля	-1
ТВ: число жертв землетрясения в Непале превысило 1,5 тысячи человек	Более 1,5 тысячи человек погибли в результате землетрясения в Непале	1
Суд продолжит оглашать приговор Васильевой 7 мая	"Суд продолжит оглашение приговора фигурантам дела ""Оборонсервиса"" 8 мая"	-1
В КНДР казнили дядю национального лидера.	В КНДР казнили дядю Ким Чен Ына.	1
В КНДР американца приговорили к 15 годам.	Сергей Полонский оставил бизнес на Potok.	-1
МЧС эвакуирует из Сирии не только россиян, но и иностранцев.	В интернете нашли два миллиона сторонников Саакашвили.	-1
В центре Москвы убит криминальный авторитет Дед Хасан.	В Москве убили криминального авторитета Деда Хасана.	1
«Умные телевизоры» LG уличили в слежке за пользователями.	"""Все вроде замечательно, но теперь стоит вопрос - а что будет после Игр?"""	-1
Депутат от КПРФ попросил снять с него неприкосновенность.	Коммунист попросил снять с него неприкосновенность.	1
"Бизнесмена, ""заказавшего"" свердловского депутата, осудили на 13 лет."	Заказчик убийства свердловского депутата приговорен к 13 годам.	1
Парламент Ливии временно прекратил работу.	Ливийский парламент приостановил работу.	1
Три афтершока магнитудой до 6,5 зафиксированы в Непале	В Непале произошло мощное землетрясение магнитудой 6,8	-1
Из-под завалов обрушившегося дома в Чувашии извлечены все люди.	Спасатели извлекли всех людей из-под развалин дома в Чувашии.	1
"Москва готовится к ""народному сходу"" в поддержку А.Навального."	Мэра Рыбинска заподозрили в злоупотреблениях на 116 миллионов рублей.	-1
В Таиланде в результате ДТП погибла россиянка.	В Таиланде в крупном ДТП погибла россиянка.	1
К теледебатам готовы все кандидаты в мэры Москвы, кроме С.Собянина.	Жильцов аварийного дома в Москве переселят на время ремонта.	-1
"""Рубин"" будет обеспечивать безопасность на стадионе самостоятельно."	К 2025 году многодетных семей в РФ станет больше в несколько раз.	-1
Всемирный русский собор поддержал переименование Волгограда.	Всемирный русский собор сравнил Сталинград с Фермопилами.	-1
В Башкирии обыскали офис «Единой России».	"Башкирская ""Единая Россия"" попала под обыски."	1
Facebook запустила функцию видеозвонков в Messenger	В Facebook Messenger добавили видеозвонки	1
На правую руку А.Сердюкова надели электронный браслет.	На Евгению Васильеву надели электронный браслет.	-1
"В Москве заработают пешие ""Парконы""."	В Москве появятся пешие «Парконы».	1
Финляндия заблокирует вступление Румынии и Болгарии в Шенген.	Финляндия выступила против принятия Болгарии и Румынии в Шенген.	1
ФБР нагрянуло с обыском к сестре бостонских террористов.	ФБР пришло с обысками в квартиру сестры «бостонских террористов».	1
Власти Китая перестанут контролировать цены на лекарства с 1 июня	Власти Китая с 1 июня перестанут контролировать цены на лекарства	1
Полиция задержала подозреваемых в избиении водителя на МКАД.	Убийцу доставили к министру.	-1
Из-за фирм-однодневок бюджет РФ теряет 1 трлн руб. в год.	Потери бюджета от фирм-однодневок оценили в триллион рублей.	1
Топ-менеджер Google погиб при сходе лавины на Эвересте	При сходе лавины на Эвересте погибли 65 альпинистов	-1
"Дело ""Оборонсервиса"": обыски начались в ИД ""Красная звезда""."	"ИД ""Красная звезда"" опроверг информацию об обыске."	-1
Названа предварительная версия причины крушения Ан-24 под Донецком.	Названа предварительная версия крушения Ан-24 под Донецком.	1
Явка на выборах мэра Москвы достигла 7%.	В Москве завершилось голосование на выборах мэра.	-1
К 2014 году на Кубани появятся 100 врачебных офисов.	Запуск модуля «Наука» на МКС снова отложили.	-1
США ускорят процесс ядерного разоружения, заявил Керри	США предложили России продолжить ядерное разоружение	-1
Пожар в офисном здании в центре Москвы локализован	Крупный пожар в офисном здании в Москве ликвидирован	1
Подозреваемый в убийстве семьи наркополицейского курсант арестован.	Подозреваемый в убийстве семьи сотрудника ФСКН признал вину.	-1
Репетиция водителей военной техники Парада Победы состоится в Москве	Движение в Москве по ночам осложнит военная техника	-1
"""Ночные волки"", не участвующие в мотопробеге, въехали в Польшу"	Колонну «Ночных волков» не пропустили на территорию Польши	-1
Минобороны РФ впервые опубликовало фото новейших образцов техники	Минобороны впервые опубликовало фотографии новейшей военной техники	1
Пилоты упавшего в Москве вертолета уводили его от жилых домов.	Вертолет не дотянул до жилых домов.	-1
В Анголе в давке во время церковной службы погибли 10 человек.	В ходе давки на церковной службе в Анголе погибли 10 человек.	1
СК завел дело о гибели в США 9-летнего Антона Фомина.	СК возбудил дело о гибели в США 9-летнего Антона Фомина.	1
В Саудовской Аравии построят станцию метро из золота.	В метро Эр-Рияда появится станция из золота.	1
Землетрясение магнитудой 5,6 произошло у берегов Папуа - Новой Гвинеи	В Новой Зеландии произошло землетрясение магнитудой 6,1	-1
Армения выразила желание вступить в Таможенный союз.	Армения попросилась в Таможенный союз.	1
По московским дорогам разрешат ездить без прав.	В Москве предложили отменить уроки вождения на тренировочных площадках.	-1
В магазине пиротехники в Орле произошел пожар и взрывы	Источник: при пожаре и взрывах в Орле 2 человека погибли	-1
При взрыве на Новом Арбате пострадали 2 человека.	При взрыве на Новом Арбате пострадали два человека.	1
"Европейский корабль ""Альберт Эйнштейн"" стартовал с космодрома Куру."	«Альберт Эйнштейн» стартовал к МКС.	-1
Минобрнауки сократит число рекомендованных учебников по истории.	"""Все вроде замечательно, но теперь стоит вопрос - а что будет после Игр?"""	-1
Часть реконструируемого здания рухнула в центре Перми.	"""Все вроде замечательно, но теперь стоит вопрос - а что будет после Игр?"""	-1
Барак Обама определился с кандидатурой на пост главы ЦРУ.	Обама нашел кандидата на пост главы ЦРУ.	1
Во всех московских школах прозвенит последний звонок.	Руководство «Объединенной зерновой компании» заподозрили в хищении 70 миллионов.	-1
"""Ночные волки"" пересекли польскую границу"	«Ночные волки» предпримут новую попытку пересечь границу с Польшей	-1
Глава Генштаба Украины отмечает в целом стабильную ситуацию в Донбассе	Глава Генштаба Украины уточнил свои слова о солдатах из России в Донбассе	-1
Lexus архангельского губернатора попал в аварию на встречке.	«Лексус» архангельского губернатора попал в ДТП.	1
СМИ: лидер Саудовской Аравии приказал Нацгвардии отправиться в Йемене	Саудовская Аравия объявила о новой операции в Йемене	-1
Подозреваемого в убийстве семьи сотрудника ФСКН арестовали на 2 месяца.	Подозреваемый в убийстве семьи сотрудника ФСКН признал вину.	-1
Власти США возмутил визит Бейонсе и Jay-Z на Кубу.	Американских законодателей возмутила поездка Бейонсе и Jay-Z на Кубу.	1
"""Ленэнерго"" начнет размещение допэмиссии на 5,6 млрд руб."	Сечин не ожидает высоких цен на нефть в ближайшей перспективе.	-1
В Санкт-Петербурге горит Технологический институт.	В Санкт-Петербурге загорелся Технологический институт.	1
Не менее 200 человек стали жертвами землетрясения в Непале	Более 1,5 тысячи человек погибли в результате землетрясения в Непале	-1
В Москве задержаны сторонники Евромайдана.	Задержанных у посольства в Москве сторонников «Евромайдана» отпустили.	-1
Российский рынок готов скорректироваться вниз.	Россия представит свои турнаправления в визовых центрах за рубежом.	-1
СМИ: Руслан Геремеев перешел в статус подозреваемого по делу Немцова	Хуг: демилитаризация Широкино предусматривает отведение ВС	-1
«Два ствола» сменили «Одноклассников» в лидерах российского проката.	"""Почта России"" упаковалась во Внуково."	-1
СМИ сообщили об убийстве украинского журналиста Олеся Бузины	СМИ: найдена машина убийц журналиста Бузины	-1
Во Франции скончался экс-глава компании Michelin Франсуа Мишлен	Во Франции умер бывший глава Michelin Франсуа Мишлен	1
ФРГ расторгла соглашение об обмене данными со спецслужбами США.	ФРГ расторгла соглашение об обмене данными с американскими спецслужбами.	1
Двух американских адмиралов отстранили из-за подозрений в коррупции.	Двух адмиралов ВМС США отстранили по подозрению в коррупции.	1
Облака над Москвой в День Победы разгонят девять самолетов	Путеводитель по Дню Победы: как провести 9 мая в Москве	-1
Землетрясение магнитудой 5,7 произошло в районе Тибета на западе КНР	Недалеко от столицы Непала произошло землетрясение магнитудой 5,6	-1
"Disney заказала Electronic Arts игры по ""Звездным войнам""."	EA получила эксклюзивные права на игры по «Звездным войнам».	-1
Путин допустил повышение пенсионного возраста в будущем	Путин: Россия пока не готова к резкому повышению пенсионного возраста	-1
Генконсульство: россиянка, попавшая в ДТП в Дубае, отправлена в Москву	Пострадавшая в ДТП в Дубае россиянка отправлена в Москву	1
"В Москве открылась выставка номинантов на премию ""Инновация""."	«Союз» с космонавтами пристыковался к МКС.	-1
УЕФА разведет «Зенит» и украинские клубы в Лиге Европы	«Зенит» устроил в Лиге Европы спектакль на прощание	-1
МЧС РФ: Украина не нуждается в помощи России в зоне ЧАЭС	Россия предложила Украине помощь в борьбе с пожаром около ЧАЭС	-1
Взрыв на почте: в Греции до крупного чиновника не дошло письмо с бомбой.	На почте в Греции загорелось письмо с бомбой.	-1
АФК «Система» продала свою долю в «РуссНефти» за 1,2 млрд долл.	«Система» продала половину «Русснефти» за 1,2 миллиарда долларов.	1
В Альпах разбился снегоход с российскими туристами.	Группа туристов разбилась на снегоходе в Альпах.	1
«Рубин» вышел в групповой этап Лиги Европы, где встретится с обладателем Кубка Англии.	За выход в play-off им придется бороться с обладателем кубка и одним из главных фаворитов розыгрыша.	-1
На президентских выборах в Грузии лидирует Г.Маргвелашвили.	Георгий Маргвелашвили побеждает на выборах президента грузии.	1
Причиной пожара в аэропорту Рима стало короткое замыкание	Кроткое замыкание стало причиной пожара в римском аэропорту	1
Замминистра спорта Саратовской области получил взятку в 1,5 млн руб.	Саратовский замминистра спорта задержан за взятку.	-1
Осуждены мошенники, укравшие около 1.2 млрд руб у банка в Вологде	У динозавра с самым коротким именем нашли крылья летучей мыши	-1
Московские власти выставили на продажу МОЭК.	"""Братья-мусульмане"" перешли к джихаду."	-1
История по-новому: в единый учебник попали В.Пелевин и З.Церетели.	В России открывается первый Музей Сергея Довлатова - Он будет находиться в доме, где писатель жил, когда работал экскурсоводом в Пушкинском музее-заповеднике.	-1
В новом году одной из главных причин аварий стал выезд на встречку.	Американские полярники прибыли к подледному антарктическому озеру.	-1
"Электронные библиотеки Рунета бастуют против ""антипиратского"" закона."	Электронные библиотеки устроили забастовку против антипиратского закона.	1
Для нас всюду - зеленый — Российская газета.	Американский профессор собрал цифровое досье на Цукерберга.	-1
В Канаде в дорожной аварии пострадали более 100 человек.	В результате ДТП в Канаде пострадали около ста человек.	1
Велосипедов в Европе стали продавать больше, чем автомобилей.	Велосипеды опередили автомобили по продажам в ЕС.	1
Финляндия гордится тем, что ее граждан нет в списках Forbes.	«Ё-мобиль» не пустили на Петербургский экономический форум.	-1
В Альпах разбился снегоход с российскими туристами.	Группа туристов разбилась на снегоходе в Альпах.	1
По подозрению в получении взятки задержан начальник КУГИ Приморского района	Аваков: глава сельсовета Киевской области задержан за получение взятки	-1
В шахте на Урале произошел пожар.	На Урале загорелась шахта.	1
Голодец: замороженные средства в накопительную часть пенсии не вернут	Голодец назвала невозможным возврат средств в накопительную часть пенсий	1
Паводок добрался до Еврейской автономной области.	В Аргентине завершили поиски погибших при взрыве дома.	-1
В Бурятии без света остались более 40 тыс. человек.	Более 40 тысяч жителей Бурятии остались без света.	1
Пучков: жертвами пожаров в Сибири стали 34 человека	Пять человек стали жертвами камнепада в Китае	-1
Глава Ермолино уволен из-за гибели ребенка от упавшей сосульки.	Главу города уволили после гибели ребенка от упавшей сосульки.	1
«Умные телевизоры» LG уличили в слежке за пользователями.	"""Все вроде замечательно, но теперь стоит вопрос - а что будет после Игр?"""	-1
Болотная год спустя: в Москве прошел митинг оппозиции.	На Болотной площади начался митинг оппозиции.	-1
Cisco вновь не удалось оспорить сделку между Skype и Microsoft.	Cisco не смогла оспорить сделку Microsoft и Skype.	1
Минюст Украины: Для расплаты с Россией денег в бюджете нет.	Метр, выйди из тени - Как граждан стимулируют страховать дома и квартиры.	-1
"Обнародован проект нового здания московского ""Политеха""."	Новое здание Политеха построят из меди и патины по итальянскому проекту.	-1
Россельхознадзор обеспокоен нелегальным ввозом в РФ рыбы из Казахстана	Россельхознадзор предотвратил нелегальный ввоз рыбы из Казахстана	-1
"""Белгородский стрелок"" не раскаивается в совершенном преступлении."	Белгородский стрелок не раскаялся и не объяснился.	1
В Москве директора завода убили из арбалета.	Директора московского завода застрелили из арбалета.	1
Гибель детей при пожаре под Красноярском будет расследовать спецгруппа.	При пожаре в Красноярском крае погибли шесть детей.	-1
Эксперт: В Петербурге городская идентичность сильнее, чем в Москве.	Умер советский олимпийский чемпион по боксу.	-1
Роспотребнадзор перечислил нарушения на овощебазе в Бирюлеве.	"""Все вроде замечательно, но теперь стоит вопрос - а что будет после Игр?"""	-1
Ъ: Против Евгении Васильевой возбуждено новое уголовное дело	Против депутата Ильи Пономарева возбуждено уголовное дело	-1
Минобороны: операция в Йемене предотвратила угрозу Саудовской Аравии	Саудовская Аравия объявила о новой операции в Йемене	-1
Ульянов: США обвиняют Россию в нарушении международных обязательств	Россия обвинила США в нарушении договора о нераспространении ядерного оружия	-1
"Съезд ""Единой России"" может пройти без В.Путина."	"""Единая Россия"" может собраться без Владимира Путина."	1
В Дагестане застрелили преподавателя медресе.	В Дагестане убит преподаватель медресе.	1
Прокурор потребовал условный срок для Евгении Васильевой	Адвокаты рады за коллег, добившихся условного срока Васильевой	-1
Девять самолетов ВВС разгонят облака над Москвой в День Победы	В Москве ограничат движение в связи с Днем Победы	-1
Убийцы замглавы Подольска получили от 8 до 19,5 года колонии.	Убийце замглавы Подольска дали 20 лет.	-1
Владимир Путин прибыл в Ереван	Владимир Путин посетит Санкт-Петербург	-1
МВД: число жертв в Индии после землетрясения в Непале превысило 60	Жертвами землетрясения в Непале стали 3725 человек	-1
Плененных в Сирии россиян отпустили в обмен на боевиков.	Российских заложников в Сирии обменяли на боевиков.	1
Самый большой доход в кабмине России в 2014 году получил Барщевский	Самый большой доход среди сотрудников аппарата кабмина получил Барщевский	1
Российский форвард забросил победную шайбу в игре НХЛ.	"""Все вроде замечательно, но теперь стоит вопрос - а что будет после Игр?"""	-1
Пожар в офисном здании в центре Москвы потушен	Крупный пожар в офисном здании в Москве ликвидирован	1
Королева Елизавета II госпитализирована.	Елизавету II госпитализировали.	1
Общественная палата Москвы рекомендовала С.Собянину уйти в отставку.	Общественная палата Москвы рекомендовала Собянину идти на досрочные выборы.	-1
Ъ: Против Евгении Васильевой возбуждено новое уголовное дело	СК возбудил уголовное дело против российского олигарха	-1
Скончался самый влиятельный кинокритик США.	"Школьники пойдут на лыжах к Северному полюсу в честь 90-летия ""Динамо""."	-1
В Белоруссии разместят базу российских истребителей.	В Белоруссии разместится база российских истребителей.	1
СК начал доследственную проверку в отношении Р.Адагамова.	СК начал доследственную проверку обвинений в адрес Адагамова.	1
При взрыве на вокзале в Волгограде погиб пермяк.	Все погибшие в результате взрыва на вокзале в Волгограде опознаны.	-1
Мэром Нью-Йорка избран демократ Билл де Блазио.	Мэром Нью-Йорка стал демократ Билл де Блазио.	1
"Молодые футболисты ЦСКА обыграли ""Баварию"" в Лиге чемпионов."	«Бавария» разгромила ЦСКА в матче Лиги чемпионов.	-1
В аэропорту Сан-Франциско при посадке разбился Boeing 777.	При посадке в Сан-Франциско разбился Boeing 777.	1
СКР: Бастующие офицеры ФСБ - вымышленные персонажи.	СК счел «бастующих» офицеров ФСБ вымышленными персонажами.	1
Навальный не признал итоги московских выборов.	Итоги выборов мэра Москвы: Сергей Собянин — 51,37%, Алексей Навальный — 27,24%.	-1
Lexus архангельского губернатора попал в аварию на встречке.	«Лексус» архангельского губернатора попал в ДТП.	1
ЛДПР: 80% жителей России поддерживают антитабачный закон.	Госдума приняла антитабачный законопроект во втором чтении.	-1
Спикер Мурманской облдумы отказался от показаний по делу о хищении.	Свои среди других.	-1
В России решили ввести соцнормы потребления воды.	В России введут социальную норму потребления воды.	1
Украина отменила поезда и автобусы в Крым	Беларусь отменила поезд в Крым вслед за Украиной	-1
СМИ сообщили об убийстве украинского журналиста Олеся Бузины	Мать журналиста Олеся Бузины не знает, кто мог его убить	-1
Биржевой курс доллара упал ниже 51 руб.	Официальный курс доллара упал ниже 51 рубля	1
Саудовская Аравия отказалась от членства в Совете Безопасности ООН.	Саудовская Аравия отказалась от места в Совбезе ООН.	1
"СМИ: ""Ночные волки"" почтили память польских офицеров в Катыни"	"""Ночные волки"" направились к польской границе"	-1
Президент Южной Осетии отправил в отставку главу МИД	Президент Южной Осетии уволил главу МИД	1
Пьяного авиадебошира, летевшего в Турцию, высадили в Краснодаре	В Краснодаре с самолета, летевшего в Турцию, сняли дебошира	1
Самолет выкатился за пределы взлетно-посадочной полосы в Ульяновске	В Ульяновске пассажирский самолет выкатился за пределы взлетной полосы	1
В «Рубине» готовы к встрече с любым соперником в квалификации Лиги Европы.	«Рубин» узнал первого соперника в Лиге Европы.	-1
РФС: контракт с Фабио Капелло был заключен без участия посредников	РФС назвал публикацию контракта Капелло провокацией	-1
КНДР провела ядерные испытания.	Совбез ООН подготовит ответ на ядерные испытания КНДР.	-1
"Стал известен город, где пройдет ""Евровидение-2014""."	Стал известен город проведения «Евровидения-2014».	1
Брусника оказалась полезной для сердца и сосудов.	Росрыболовство: Красная икра подорожает к зиме на 10 процентов.	-1
Ульянов: политика США препятствует сокращению ядерного оружия	МИД РФ: Политика США препятствует сокращению ядерного оружия	1
Названы основные версии падения вертолета Ка-52 в Москве.	Вертолет Ка-52 упал на юго-востоке Москвы.	-1
ОБСЕ заявляет об интенсивных обстрелах села Широкино в Донбассе	Наблюдатели ОБСЕ зафиксировали интенсивные бои у деревни Широкино	1
Вице-президент Еврокомиссии бойкотирует Олимпиаду в Сочи.	Вице-президент Еврокомиссии отказалась ехать на Олимпиаду в Сочи.	1
Инвесторов для моногородов найдут к весне.	Россия допустила китайцев до месторождений на Камчатке и Ямале.	-1
К осени экономическая ситуация в России может стать похожей на европейскую.	"""Диалоги"" с позиции силы."	-1
МЧС РФ предложило помощь Непалу в ликвидации последствий землетрясения	МЧС России предложило помощь Непалу в ликвидации последствий землетрясения	1
"Леонтьев: идея создания газовой ""дочки"" ""Роснефти"" не абсурд"	«Роснефть» опровергла сообщения о создании своей газовой компании	-1
Напротив Кремля разместили экстремистский баннер.	Напротив Кремля вывесили экстремистский баннер.	1
Чиновники утвердили одно из основных положений для отмены «мобильного рабства».	Рабы и соболя на экспорт - Основы международной торговли в Средневековье.	-1
"Пожар в ""Москва-Сити"" полностью ликвидирован."	Пожар в «Москва-Сити» потушен.	1
Более 30 повторных землетрясений произошло в Непале за сутки	В Непале произошло землетрясение магнитудой 6,7	-1
Землетрясение магнитудой 6,3 произошло у Соломоновых островов	У берегов Соломоновых островов произошло землетрясение магнитудой 6,3	1
Задержаны 6 полицейских, обвиняемых в убийстве Фредди Грея в Балтиморе	Сотруднику полиции Балтимора грозит 30 лет тюрьмы за смерть Фредди Грея	-1
Песков не стал комментировать возможное снижение ставки ЦБ	Газпромбанк первым отреагировал на снижение ключевой ставки ЦБ	-1
Россияне назвали Леонида Брежнева лучшим правителем XX века.	Лучшим правителем России в XX веке россияне назвали Брежнева.	1
СМИ: семь человек погибли в Индии после землетрясения в Непале	Не менее 200 человек стали жертвами землетрясения в Непале	-1
Задержанное в Иране судно Maersk освободят только решением суда	Иран освободил судно Maersk Tigris	-1
Сегодня в Москве прощаются с актером Андреем Паниным.	В Москве простились с Андреем Паниным.	-1
Австралия выделила $5 млн для пострадавших от землетрясения в Непале	В пострадавшем от землетрясений Непале начались мародерства	-1
Чиновники и депутаты должны избавиться от зарубежных счетов к сентябрю.	Фанаты «Зенита» вступились за Эрмитаж.	-1
Губернатор Псковской области взял под свой контроль ситуацию с ДТП.	Индонезия перенесла финал «Мисс мира» на Бали.	-1
"В Москве проходит ""Марш против подлецов""."	"В Москве начался ""Марш против подлецов""."	1
Мэр Монреаля арестован по подозрению в коррупции.	Обвиненный в коррупции мэр Монреаля ушел в отставку.	-1
Глава управы района Северное Медведково задержан за взятку.	Главу управы Северное Медведково поймали на взятке.	1
МАК подтвердил информацию об обнаружении самописцев разбившегося в Казани самолета.	«Черные ящики» разбившегося «Боинга» отправили в Москву.	-1
Красный Крест приветствует паузу в боевых действиях в Йемене	Красный Крест оценил ситуацию в Йемене как гуманитарную катастрофу	-1
Темпы роста ВВП России почти в 2 раза ниже, чем годом ранее.	Какой футбол им не нужен - Против чего бразильцы протестуют и за что болеют.	-1
Дочь Шарля де Голля скончалась во Франции.	Во Франции скончалась дочь Шарля де Голля.	1
Курсанты университета МВД похитили человека и потребовали $5 млн.	Курсанты МВД похитили человека в Подмосковье.	-1
Американские деловые агентства заподозрили в связях с трейдерами.	Разрывные отношения - Почему банки по всему миру перестали друг другу доверять.	-1
Профсоюзы раскритиковали идею о запрете курилок на работе.	Депутаты защитят граждан от банков и страховщиков - В первом чтении принят закон о финансовом уполномоченном.	-1
Россия поднялась в рейтинге конкурентоспособности в сфере туризма	Сборная России поднялась на пять позиций в рейтинге ФИФА	-1
Саудовская Аравия отгораживается от Йемена.	Саудовская Аравия решила отгородиться от Йемена забором.	1
В ДНР за апрель обнаружено около 2,5 тыс неразорвавшихся боеприпасов	На «Восточный» дополнительно привлекут 2,5 тысячи строителей	-1
"В ""Народном фронте"" открестились от опубликованного в СМИ манифеста."	Обнародованы выдержки из манифеста «Общероссийского народного фронта».	-1
